"#OTU ID"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"77b863f6045d424d7365e620bcec59aa"	100	100	100	100	100	100	100
"1f14df16ba472123db341c9c257d1b17"	100	100	100	100	100	82	82
"001dbbc499198a797f822da3b8a0e0dc"	100	100	100	100	100	100	100
"4016c9fd99f482a37092e645696fcbff"	100	100	100	100	100	100	100
"8ddf4778cc7c91fb27cf58720d20b35a"	100	100	100	100	100	100	100
"25b301c2def1be693c877e2ff227e660"	100	100	100	100	100	100	100
"dc2ffa1c8d0ed9292f24d401247caf27"	100	100	100	100	100	100	100
"9d072fa6b5badd82a27a1f6e33d589ed"	100	100	100	100	100	100	100
"d29f0db18e308faad464f1a5559eb39e"	100	100	100	100	100	100	100
"eaca67e07cfb89390652d44372a4078e"	100	100	100	100	100	100	100
"da8ca5d678bf66ac71991726657f6331"	100	100	100	100	100	100	100
"beea126956b3302b7df9d34cff4c5794"	100	100	100	100	100	100	100
"277d4286cdef5d81d0f3ae52020651b2"	100	100	100	100	100	100	97
"2a7343abd622753f8427a58ecdc7c55a"	100	100	100	100	100	100	100
"3a05c8bfe53dc985591fba41ecf42346"	100	100	100	100	100	100	100
"5daeb1ae919f027c9a2bfe413880b9b2"	100	100	100	100	100	100	63
"92cefb5080d3a4c51e0a80db5fc4de2a"	100	100	100	100	100	100	100
"e0764237dc2b28e0a0955894271548cb"	100	100	100	100	100	100	100
"134faff363cf43353b8c5400a40e8dc6"	100	100	100	100	100	100	78
"69eb843bce9c2b731c0da9e43ef61781"	100	100	100	100	100	100	100
"cacec10993bd8bbe0e6049cc375c9b56"	100	100	100	100	100	100	100
"156d44c61d7cea4eb3dd8be792a86993"	100	100	100	100	100	100	100
"1ec0fe413ea5e60c90df3d9d32d8ffe6"	100	100	100	100	100	100	69
"5316d96b1094392775ed515a7de3be7e"	100	100	100	100	100	100	100
"190c0f66527eeb1a258146d4c1bd7be5"	100	100	100	100	100	96	96
"a41761ba3e45ed427d8da3fafd3b1c19"	100	100	100	100	100	100	100
"54aac2973e2de0bc48a84852390bc176"	100	100	100	100	100	100	100
"93b34b162bc864760573fdff8a3c7b1d"	100	100	100	100	100	100	100
"ecd267a3cb132ae80a0199eca672c046"	100	100	100	100	100	81	79
"77bc517f7cdb2e5103222930e5295bc6"	100	100	100	100	100	100	100
"d7464d8c5c2a49c128abc77e5fb19300"	100	100	100	100	100	100	100
"7a192b942692b2a7941be05ab342c848"	100	100	100	100	100	100	100
"2a4d5e8ad5dec2e3384517310c15fb31"	100	100	100	100	100	100	100
"0608031e126d837452e8ecb4cd811a17"	100	100	100	100	100	100	100
"73295138485fdd808f63833e98e5e10c"	100	100	100	100	100	100	100
"de24825cc310ceebe2dbf48a0c7e0f08"	100	100	100	100	100	100	100
"6eaa33ff2446b366d5b2c0137a63ea3a"	100	100	100	100	100	100	100
"8e6c2b978e41034fefa562000298247e"	100	100	100	100	100	100	98
"81594bfd35fd23ecd6365f0cd34bdb2b"	100	100	100	100	100	100	100
"b39ed706567bf59335167df546ac6bf1"	100	100	100	100	100	100	100
"17534fa5e6233ff74db1c773ce4342f6"	100	100	100	100	100	100	100
"59ff275741583aea21d48d2d4dae6681"	100	100	100	100	100	100	100
"8337fe127a485747b4484103828d62cc"	100	100	100	100	100	100	96
"bd0d77290f7aaf3bc4a3c93cee574bb6"	100	100	100	100	100	100	100
"b36c52e44a400349cc72aa202fca2c93"	100	100	100	100	100	100	100
"e324463dce1715ce0a5d764fbe2a3a1a"	100	100	100	100	100	100	93
"b490831a4ce11bc6ab5ed96742abbbfd"	100	100	100	100	100	100	100
"6259d1e25975f1e414299e91dfb2698c"	100	100	100	100	100	100	100
"63c759d06b6cb6778278c81aa7d4dd43"	100	100	100	100	100	100	80
"f9ca65f6689addacd9a761cdf3520539"	100	100	100	100	100	100	100
"e94e5df2f0917dc85eb4a44d7b2a38b4"	100	100	100	100	100	100	100
"0fa3641024c5ca6b37838560062af778"	100	100	100	100	100	100	100
"69d855aace75b7f8f9de2b2a6fa36675"	100	100	100	100	100	100	100
"eebda86abfd17b230503dc262ba3038b"	100	100	100	100	100	100	100
"92c048483a36613a29b4580197b637d7"	100	100	100	100	100	100	100
"025f662389d70083780e61b9203303f8"	100	100	100	100	100	100	100
"275e8997d3908c695813dc18e40f0571"	100	100	100	100	100	100	100
"4c3c88d7f985cce899f5ef8d68684e12"	100	100	100	100	100	100	100
"00383cafbc2bd28356617fd6b35c2e49"	100	100	100	100	100	100	100
"b3d742d6bf19b379a553234b6fc945e9"	100	100	100	100	100	100	100
"cdab84b33374a5c92d2359e932e5132b"	100	100	100	100	100	100	100
"e15a1d4d3180fa59370564c3d0784579"	100	100	100	100	100	100	100
"86b2341c399559b4aac05edfc987bcbe"	100	100	100	100	100	100	100
"f2de6002f21c54a2d61737aa43a8b705"	100	100	100	100	100	100	100
